mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
144	144	575	575	1.0	3/4	3/4	4/4	6	1	viio6/III		g	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
145	145	576	576	4.0	0	0	4/4	6	1	III\\		g	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
146	146	580	580	7.0	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
147	147	587	587	1.0	3/4	3/4	4/4	6	1	V6/VII		g	i		V6/VII	V		6		VII			M	1	1	3, 0, -1		-1	3
148	148	588	588	1.0	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
148	148	589	589	1.0	1/4	1/4	4/4	6	1	V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
148	148	590	590	1.0	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
148	148	591	591	1.0	3/4	3/4	4/4	6	1	V65/VII		g	i		V65/VII	V		65		VII			Mm7	1	1	3, 0, -3, -1		-1	3
149	149	592	592	1.0	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
149	149	593	593	1.0	1/4	1/4	4/4	6	1	V7/VII		g	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
149	149	594	594	1.0	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
149	149	595	595	1.0	3/4	3/4	4/4	6	1	viio/VII		g	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
150	150	596	596	1.0	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
150	150	597	597	1.0	1/4	1/4	4/4	6	1	V/VII		g	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
150	150	598	598	1.0	1/2	1/2	4/4	6	1	ii/VII		g	i		ii/VII	ii				VII			m	1	1	0, -3, 1		0	0
