mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
61	61	240	240	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	292							
61	61	242	242	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	293							
62	62	244	244	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	294	Hel-						
62	62	491/2	491/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	295	fer						
62	62	246	246	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	296	und						
62	62	495/2	495/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	297	Er-						
62	62	244	244	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	298							
62	62	246	246	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	299	6						
63	63	248	248	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	300	ret-						
63	63	249	249	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	301	ter,						
63	63	251	251	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	302	mein						
63	63	248	248	4.0	0	0	Chord	4/4	2	1	1	1	1	303							
64	64	252	252	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	304	Gott,						
64	64	255	255	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	305	mein						
64	64	252	252	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	306							
64	64	254	254	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	307							
65	65	256	256	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	308	Gott,						
65	65	259	259	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	309	mein						
65	65	256	256	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	310							
65	65	258	258	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	311							
66	66	260	260	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	312	Gott,						
66	66	263	263	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	313	ver-						
66	66	260	260	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	314							
66	66	261	261	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	315							
66	66	262	262	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	316							
66	66	263	263	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	317							
67	67	264	264	4.0	0	0	Chord	4/4	1	1	1	1	1	318	zeuch						
67	67	264	264	4.0	0	0	Chord	4/4	2	1	1	1	1	319							
68	68	268	268	4.0	0	0	Chord	4/4	1	1	1	1	1	320	nicht.						
68	68	268	268	4.0	0	0	Chord	4/4	2	1	1	1	1	321							
