mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
51	51	203	203	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	581	zu									
51	51	407/2	407/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	582	der									
51	51	200	200	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	583	ja									
51	51	401/2	401/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	584	viel-									
51	51	201	201	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	585	mehr,									
51	51	202	202	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	586	der									
51	51	405/2	405/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	587	auch									
51	51	203	203	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	588	auf-									
51	51	407/2	407/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	589	er-									
51	51	200	200	4.0	0	0	Chord	4/4	5	1	1	1	1	590										
52	52	204	204	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	591	ja									
52	52	409/2	409/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	592	viel-									
52	52	205	205	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	593	mehr,									
52	52	206	206	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	594	der									
52	52	413/2	413/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	595	auch									
52	52	207	207	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	596	auf-									
52	52	415/2	415/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	597	er-									
52	52	204	204	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	598	Rech-									
52	52	411/2	411/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	599	ten									
52	52	206	206	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	600	Got-									
52	52	207	207	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	601	tes,									
52	52	204	204	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	602	we-									
52	52	409/2	409/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	603	cket									
52	52	205	205	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	604	ist,									
52	52	204	204	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	605										
52	52	206	206	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	606										
53	53	208	208	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	607	we-									
53	53	417/2	417/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	608	cket									
53	53	209	209	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	609	ist,									
53	53	421/2	421/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	610	sitzt									
53	53	211	211	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	611	zu									
53	53	423/2	423/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	612	der									
53	53	421/2	421/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	613	sitzt									
53	53	211	211	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	614	zu									
53	53	423/2	423/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	615	der									
53	53	421/2	421/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	616	sitzt									
53	53	211	211	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	617	zu									
53	53	423/2	423/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	618	der									
53	53	421/2	421/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	619	sitzt									
53	53	211	211	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	620	zu									
53	53	423/2	423/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	621	der									
53	53	208	208	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	622										
53	53	210	210	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	623										
53	53	211	211	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	624										
53	53	423/2	423/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	625										
54	54	212	212	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	626	Rech-									
54	54	213	213	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	627	ten									
54	54	214	214	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	628	Got-									
54	54	215	215	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	629	tes									
54	54	212	212	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	630	Rech-									
54	54	213	213	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	631	ten									
54	54	214	214	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	632	Got-									
54	54	215	215	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	633	tes									
54	54	212	212	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	634	Rech-									
54	54	213	213	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	635	ten									
54	54	214	214	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	636	Got-									
54	54	215	215	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	637	tes									
54	54	212	212	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	638	Rech-									
54	54	213	213	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	639	ten									
54	54	214	214	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	640	Got-									
54	54	215	215	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	641	tes									
54	54	212	212	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	642										
54	54	213	213	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	643										
54	54	214	214	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	644										
54	54	215	215	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	645										
55	55	217	217	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	646	und									
55	55	219	219	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	647	ver-									
55	55	219	219	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	648	und									
55	55	217	217	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	649	und									
55	55	219	219	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	650	ver-									
55	55	217	217	2.0	1/4	1/4	Chord	4/4	4	1	1/2	1/2	1	651	und									
55	55	219	219	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	652	ver-									
55	55	217	217	2.0	1/4	1/4	Chord	4/4	5	1	1/2	1/2	1	653										
55	55	219	219	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	654										
56	56	220	220	4.0	0	0	Chord	4/4	1	1	1	1	1	655	tritt									
56	56	220	220	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	656										
56	56	221	221	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	657	ver-									
56	56	222	222	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	658	tritt									
56	56	220	220	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	659	tritt									12
56	56	221	221	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	660										12
56	56	223	223	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	661										
56	56	220	220	4.0	0	0	Chord	4/4	4	1	1	1	1	662	tritt									
56	56	220	220	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	663	7									
56	56	221	221	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	664	6	4								
56	56	222	222	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	665		4								
56	56	223	223	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	666										
57	57	224	224	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	667	uns,									
57	57	227	227	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	668	und									
57	57	224	224	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	669	uns,									
57	57	227	227	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	670	und									
57	57	224	224	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	671	uns,									
57	57	224	224	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	672	uns,									
57	57	227	227	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	673	und									
57	57	224	224	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	674										
57	57	227	227	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	675										
58	58	228	228	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	676										
58	58	229	229	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	677	ver-									
58	58	230	230	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	678	tritt									13
58	58	231	231	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	679										13
58	58	228	228	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	680										
58	58	229	229	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	681	ver-									
58	58	230	230	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	682	tritt									
58	58	229	229	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	683	und									
58	58	231	231	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	684	ver-									
58	58	228	228	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	685										
58	58	229	229	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	686	ver-									
58	58	230	230	0.25	1/2	1/2	Chord	4/4	4	1	1/16	1/16	1	687	tritt									14
58	58	921/4	921/4	0.75	9/16	9/16	Chord	4/4	4	1	3/16	1/8	3/2	688										14
58	58	231	231	0.25	3/4	3/4	Chord	4/4	4	1	1/16	1/16	1	689										14
58	58	925/4	925/4	0.75	13/16	13/16	Chord	4/4	4	1	3/16	1/8	3/2	690										14
58	58	228	228	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	691										
58	58	229	229	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	692										
58	58	230	230	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	693	7									15
58	58	231	231	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	694	6	4								15
59	59	232	232	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	695										13
59	59	233	233	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	696										13
59	59	467/2	467/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	697										13
59	59	234	234	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	698										
59	59	232	232	4.0	0	0	Chord	4/4	2	1	1	1	1	699										
59	59	232	232	4.0	0	0	Chord	4/4	3	1	1	1	1	700	tritt									
59	59	232	232	4.0	0	0	Chord	4/4	4	1	1	1	1	701										
59	59	232	232	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	702	4									
59	59	234	234	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	703										
60	60	236	236	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	704	uns.									
60	60	236	236	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	705	uns.									
60	60	477/2	477/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	706	Al-									
60	60	239	239	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	707	le-									
60	60	479/2	479/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	708	lu-									
60	60	236	236	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	709	uns.									
60	60	236	236	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	710	uns.									
60	60	236	236	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	711										
60	60	238	238	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	712										
60	60	239	239	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	713										
61	61	240	240	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	714	ja,									16
61	61	481/2	481/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	715										16
61	61	963/4	963/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	716										16
61	61	241	241	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	717										16
61	61	483/2	483/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	718										16
61	61	967/4	967/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	719										16
61	61	242	242	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	720										16
61	61	485/2	485/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	721										16
61	61	971/4	971/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	722										16
61	61	243	243	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	723										16
61	61	487/2	487/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	724										16
61	61	975/4	975/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	725										16
61	61	485/2	485/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	726	Al-									
61	61	243	243	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	727	le-									
61	61	487/2	487/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	728	lu-									
61	61	240	240	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	729										
61	61	241	241	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	730										
61	61	242	242	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	731										
61	61	243	243	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	732										
62	62	489/2	489/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	733	Al-									
62	62	245	245	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	734	le-									
62	62	491/2	491/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	735	lu-									
62	62	246	246	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	736	ja,									17
62	62	493/2	493/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	737										17
62	62	987/4	987/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	738										17
62	62	247	247	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	739										17
62	62	495/2	495/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	740										17
62	62	991/4	991/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	741										17
62	62	244	244	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	742										
62	62	491/2	491/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	743	Al-									
62	62	246	246	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	744	le-									
62	62	247	247	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	745	lu-									
62	62	244	244	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	746	ja,									18
62	62	489/2	489/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	747										18
62	62	979/4	979/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	748										18
62	62	245	245	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	749										18
62	62	491/2	491/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	750										18
62	62	983/4	983/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	751										18
62	62	246	246	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	752										18
62	62	493/2	493/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	753										18
62	62	987/4	987/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	754										18
62	62	247	247	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	755										18
62	62	495/2	495/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	756										18
62	62	991/4	991/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	757										18
62	62	245	245	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	758	Al-									
62	62	246	246	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	759	le-									
62	62	247	247	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	760	lu-									
62	62	244	244	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	761										
62	62	245	245	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	762										
62	62	246	246	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	763	6									
62	62	247	247	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	764										
63	63	248	248	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	765										17
63	63	497/2	497/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	766										17
63	63	995/4	995/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	767										17
63	63	249	249	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	768										17
63	63	499/2	499/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	769										17
63	63	999/4	999/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	770										17
63	63	250	250	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	771										
63	63	501/2	501/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	772	Al-									
63	63	251	251	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	773	le-									
63	63	503/2	503/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	774	lu-									
63	63	248	248	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	775	ja,									
63	63	248	248	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	776										
63	63	251	251	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	777	Al									
63	63	248	248	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	778	ja,									
63	63	497/2	497/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	779	Al-									
63	63	249	249	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	780	le-									
63	63	499/2	499/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	781	lu-									
63	63	250	250	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	782	ja,									19
63	63	501/2	501/2	0.25	5/8	5/8	Chord	4/4	4	1	1/16	1/16	1	783										19
63	63	1003/4	1003/4	0.25	11/16	11/16	Chord	4/4	4	1	1/16	1/16	1	784										19
63	63	251	251	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	785										19
63	63	503/2	503/2	0.25	7/8	7/8	Chord	4/4	4	1	1/16	1/16	1	786										19
63	63	1007/4	1007/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16	1/16	1	787										19
63	63	248	248	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	788										
63	63	249	249	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	789										
63	63	250	250	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	790										
63	63	251	251	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	791										
64	64	252	252	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	792	ja,									20
64	64	505/2	505/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	793										20
64	64	1011/4	1011/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	794										20
64	64	253	253	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	795										20
64	64	507/2	507/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	796										20
64	64	1015/4	1015/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	797										20
64	64	254	254	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	798										
64	64	511/2	511/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	799	Al-									
64	64	509/2	509/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	800	Al-									
64	64	255	255	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	801	le-									
64	64	511/2	511/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	802	lu-									
64	64	252	252	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	803	le-									
64	64	253	253	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	804	lu-									
64	64	254	254	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	805	ja,									
64	64	509/2	509/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	806	Al-									
64	64	255	255	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	807	le-									
64	64	511/2	511/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	808	lu-									
64	64	252	252	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	809										19
64	64	505/2	505/2	0.25	1/8	1/8	Chord	4/4	4	1	1/16	1/16	1	810										19
64	64	1011/4	1011/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16	1/16	1	811										19
64	64	253	253	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	812										19
64	64	507/2	507/2	0.25	3/8	3/8	Chord	4/4	4	1	1/16	1/16	1	813										19
64	64	1015/4	1015/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16	1/16	1	814										19
64	64	254	254	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	815										
64	64	255	255	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	816	Al-									
64	64	252	252	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	817										
64	64	253	253	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	818										
64	64	507/2	507/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	819	6									
64	64	254	254	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	820	6									
64	64	255	255	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	821										
65	65	256	256	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	822	le-									
65	65	257	257	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	823	lu-									
65	65	258	258	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	824	ja.									
65	65	256	256	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	825	ja,									21
65	65	513/2	513/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	826										21
65	65	1027/4	1027/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	827										21
65	65	257	257	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	828										21
65	65	515/2	515/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	829										21
65	65	1031/4	1031/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	830										21
65	65	258	258	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	831										21
65	65	517/2	517/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	832										21
65	65	1035/4	1035/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	833										21
65	65	259	259	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	834										21
65	65	519/2	519/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	835										21
65	65	1039/4	1039/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	836										21
65	65	256	256	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	837	ja,									22
65	65	513/2	513/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	838										22
65	65	1027/4	1027/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	839										22
65	65	257	257	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	840										22
65	65	515/2	515/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	841										22
65	65	1031/4	1031/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	842										22
65	65	258	258	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	843										
65	65	517/2	517/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	844	Al-									
65	65	259	259	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	845	le-									
65	65	519/2	519/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	846	lu-									
65	65	256	256	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	847	le-									
65	65	257	257	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	848	lu-									
65	65	258	258	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	849	ja.									
65	65	256	256	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	850	6									
65	65	257	257	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	851										
65	65	258	258	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	852										
65	65	259	259	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	853										
66	66	521/2	521/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	854	Al-									
66	66	261	261	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	855	le-									
66	66	523/2	523/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	856	lu									
66	66	262	262	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	857	ja,									
66	66	525/2	525/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	858										
66	66	1051/4	1051/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	859										
66	66	263	263	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	860										
66	66	527/2	527/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	861										
66	66	1055/4	1055/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	862										
66	66	260	260	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	863										
66	66	523/2	523/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	864	Al-									
66	66	262	262	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	865	le-									
66	66	263	263	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	866	lu-									
66	66	260	260	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	867	ja,									23
66	66	521/2	521/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	868										23
66	66	1043/4	1043/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	869										23
66	66	261	261	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	870										23
