mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
37	37	1/2	1/2	4/4	5	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	3	0.0	0.0	1.25	0.0
38	38	0	0	4/4	5	1	IV					d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
38	38	1/4	1/4	4/4	5	1	IV6					d	i		IV6	IV		6					M	1	1	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
38	38	1/2	1/2	4/4	5	1	IV/IV					d	i		IV/IV	IV				IV			M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
38	38	3/4	3/4	4/4	5	1	V/IV					d	i		V/IV	V				IV			M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
39	39	0	0	4/4	5	1	IV6					d	i		IV6	IV		6					M	1	1	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
39	39	1/4	1/4	4/4	5	1	IV/IV					d	i		IV/IV	IV				IV			M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
39	39	1/2	1/2	4/4	5	1	V/IV					d	i		V/IV	V				IV			M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	1.25	0.0
40	40	0	0	4/4	5	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
40	40	1/4	1/4	4/4	5	1	VII6					d	i		VII6	VII		6					M	1	1	4, 1, 0		0	4	0	2	0.0	0.0	0.5	0.0
40	40	1/2	1/2	4/4	5	1	IV/VII					d	i		IV/VII	IV				VII			M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.5	0.0
40	40	3/4	3/4	4/4	5	1	V/VII					d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
41	41	0	0	4/4	5	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
41	41	1/4	1/4	4/4	5	1	vi/VII				IV6/VII	d	i		vi/VII	vi				VII			m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.75	0.0
41	41	1/2	1/2	4/4	5	1	V(4)/VII					d	i		V(4)/VII	V			4	VII			M	1	1	1, 0, 2		1	1	0	3	0.0	0.0	1.0	0.0
41	41	3/4	3/4	4/4	5	1	V/VII					d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
42	42	0	0	4/4	5	1	vi/VII					d	i		vi/VII	vi				VII			m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.75	0.0
42	42	1/4	1/4	4/4	5	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
