mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
77	77	0	0	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	1.0	0.0
77	77	1/4	1/4	4/4	6	1	III6		g	i		III6	III		6					M	1	1	2, -1, -2		-2	2	0	2	0.0	0.0	0.5	0.0
77	77	1/2	1/2	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	1.0	0.0
77	77	3/4	3/4	4/4	6	1	V(64)		g	i		V(64)	V			64				M	1	1	2, 1, -2		2	2	0	2	0.0	0.0	0.5	0.0
78	78	0	0	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
78	78	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	5	7	0.4166666666666667	0.375	1.0	0.2727272727272727
79	79	0	0	4/4	6	1	iv		g	i		iv	iv							m	1	1	0, -3, 1		0	0	3	5	0.375	0.1875	1.0625	0.15
79	79	3/8	3/8	4/4	6	1	IV		g	i		IV	IV							M	1	1	0, 4, 1		0	0	1	2	0.3333333333333333	0.0625	0.1875	0.25
79	79	1/2	1/2	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
79	79	5/8	5/8	4/4	6	1	V(64)		g	i		V(64)	V			64				M	1	1	2, 1, -2		2	2	0	3	0.0	0.0	0.625	0.0
79	79	3/4	3/4	4/4	6	1	V(4)		g	i		V(4)	V			4				M	1	1	2, 1, 3		2	2	0	1	0.0	0.0	0.1875	0.0
79	79	7/8	7/8	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	1	2	0.3333333333333333	0.0625	0.25	0.2
80	80	0	0	4/4	6	1	i\\	I\\	g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	3.0	0.0
81	81	0	0	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	9	24	0.2727272727272727	1.125	6.875	0.140625
83	83	0	0	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	3	6	0.3333333333333333	0.375	1.875	0.16666666666666666
83	83	1/2	1/2	4/4	6	1	III		g	i		III	III							M	1	1	-2, 2, -1		-2	-2	1	6	0.14285714285714285	0.125	2.25	0.05263157894736842
84	84	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	6	0.0	0.0	2.0	0.0
84	84	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	1	7	0.125	0.125	2.375	0.05
85	85	0	0	4/4	6	1	V\\		g	i		V	V						\\	M	1	1	2, 6, 3		2	2	0	5	0.0	0.0	4.25	0.0
85	85	3/4	3/4	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
86	86	0	0	4/4	6	1	III6		g	i		III6	III		6					M	1	1	2, -1, -2		-2	2	0	2	0.0	0.0	0.5	0.0
86	86	1/4	1/4	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.75	0.0
86	86	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	1	3	0.25	0.25	1.25	0.16666666666666666
87	87	0	0	4/4	6	1	iv		g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.5	0.0
87	87	1/2	1/2	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	9	0.0	0.0	1.75	0.0
88	88	0	0	4/4	6	1	i\\		g	i		i	i						\\	m	1	1	1, -2, 2		1	1	8	15	0.34782608695652173	1.0	4.75	0.17391304347826086
89	89	1/2	1/2	4/4	6	1	v6		g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.125	0.75	0.14285714285714285
89	89	3/4	3/4	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	2	9	0.18181818181818182	0.25	2.625	0.08695652173913043
90	90	3/4	3/4	4/4	6	1	III6		g	i		III6	III		6					M	1	1	2, -1, -2		-2	2	0	3	0.0	0.0	0.75	0.0
91	91	0	0	4/4	6	1	ii65/III		g	i		ii65/III	ii		65		III			mm7	1	1	-3, 1, -2, 0		0	-3	0	3	0.0	0.0	0.875	0.0
91	91	1/4	1/4	4/4	6	1	V/III		g	i		V/III	V				III			M	1	1	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.125	0.5	0.2
91	91	1/2	1/2	4/4	6	1	III\\		g	i		III	III						\\	M	1	1	-2, 2, -1		-2	-2	2	8	0.2	0.25	2.5	0.09090909090909091
92	92	1/4	1/4	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
92	92	3/4	3/4	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
93	93	0	0	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
93	93	1/2	1/2	4/4	6	1	V(6)		g	i		V(6)	V			6				M	1	1	2, 6, -2		2	2	0	3	0.0	0.0	0.625	0.0
93	93	3/4	3/4	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	2	8	0.2	0.25	1.875	0.11764705882352941
94	94	1/2	1/2	4/4	6	1	V/IV		g	i		V/IV	V				IV			M	1	1	1, 5, 2		1	1	1	6	0.14285714285714285	0.125	1.875	0.0625
95	95	0	0	4/4	6	1	IV		g	i		IV	IV							M	1	1	0, 4, 1		0	0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
